,Area,Area,Area,Area,Area
,count,sum,mean,std,sem
27.0,62.0,0.0144087,0.00023239838709677418,0.001390878669376026,0.00017664176765261127
28.0,78.0,0.00389575,4.994551282051282e-05,2.8823081373501174e-05,3.263571309249625e-06
29.0,72.0,0.00409858,5.6924722222222225e-05,5.518669241438612e-05,6.5038140729114385e-06
30.0,65.0,0.00365224,5.618830769230769e-05,8.857590513525021e-05,1.0986488884449665e-05
31.0,55.0,0.00540882,9.834218181818182e-05,0.00027359083225036583,3.6890980294880116e-05
32.0,57.0,0.002374,4.164912280701754e-05,3.240649826152055e-05,4.292345552655606e-06
33.0,47.0,0.00296239,6.30295744680851e-05,0.00013280502210182853,1.9371603419760917e-05
34.0,65.0,0.00324639,4.994446153846154e-05,6.662571782049447e-05,8.263903226680529e-06
35.0,51.0,0.0025161,4.9335294117647054e-05,3.016889327455955e-05,4.224490040953231e-06
36.0,49.0,0.00208981,4.264918367346939e-05,3.709692905286178e-05,5.2995612932659685e-06
37.0,42.0,0.00202906,4.8310952380952384e-05,5.6318588180818265e-05,8.690146821435734e-06
38.0,51.0,0.00184637,3.620333333333333e-05,2.5762910058195427e-05,3.607528986109595e-06
39.0,58.0,0.00657688,0.0001133944827586207,0.0005217871052691571,6.851400350509356e-05
40.0,44.0,0.00194785,4.4269318181818186e-05,3.3689002856686054e-05,5.078808274401766e-06
41.0,27.0,0.00146094,5.410888888888889e-05,4.211371221360397e-05,8.104787694366228e-06
42.0,28.0,0.00113629,4.058178571428572e-05,1.9135489435924574e-05,3.616267590211433e-06
43.0,33.0,0.00109564,3.320121212121212e-05,2.7227519483692383e-05,4.739702769209262e-06
44.0,51.0,0.00160285,3.142843137254902e-05,2.877938306305742e-05,4.029919693381233e-06
45.0,45.0,0.00152176,3.381688888888889e-05,3.4061629293106494e-05,5.077607901585615e-06
46.0,40.0,0.0012174,3.0435e-05,1.7795507211739624e-05,2.8137167453524753e-06
47.0,23.0,0.00075073,3.26404347826087e-05,1.5881357990441286e-05,3.3114920558075075e-06
