 ,Label,Area,Mean,Min,Max,X,Y,
432,,1.217E-4,255,255,255,4.414,0.664,
433,,4.058E-5,255,255,255,5.324,0.664,
434,,4.261E-4,255,255,255,6.238,0.673,
435,,2.029E-5,255,255,255,6.876,0.664,
436,,2.029E-5,255,255,255,2.128,0.669,
437,,4.058E-5,255,255,255,6.887,0.671,
438,,4.058E-5,255,255,255,2.117,0.676,
439,,2.029E-5,255,255,255,6.800,0.673,
440,,4.058E-5,255,255,255,6.901,0.680,
441,,4.058E-5,255,255,255,2.104,0.685,
442,,4.058E-5,255,255,255,4.090,0.682,
443,,2.029E-5,255,255,255,6.912,0.687,
444,,4.058E-5,255,255,255,2.090,0.694,
445,,4.058E-5,255,255,255,6.923,0.694,
446,,4.058E-5,255,255,255,3.135,0.696,
447,,2.029E-5,255,255,255,2.079,0.700,
448,,4.058E-5,255,255,255,6.937,0.703,
449,,4.058E-5,255,255,255,2.068,0.707,
450,,4.058E-5,255,255,255,5.167,0.705,
451,,4.058E-5,255,255,255,2.815,0.709,
452,,4.058E-5,255,255,255,6.950,0.712,
453,,4.058E-5,255,255,255,2.054,0.716,
454,,4.058E-5,255,255,255,4.838,0.714,
455,,8.116E-5,255,255,255,6.191,0.716,
456,,4.058E-5,255,255,255,3.005,0.718,
457,,4.058E-5,255,255,255,6.964,0.721,
458,,4.058E-5,255,255,255,2.041,0.725,
459,,4.058E-5,255,255,255,5.351,0.723,
460,,4.058E-5,255,255,255,5.779,0.723,
461,,2.029E-5,255,255,255,2.070,0.727,
462,,4.058E-5,255,255,255,6.977,0.730,
463,,4.058E-5,255,255,255,2.027,0.734,
464,,4.058E-5,255,255,255,3.505,0.732,
465,,4.058E-5,255,255,255,4.631,0.732,
466,,4.058E-5,255,255,255,6.991,0.739,
467,,4.058E-5,255,255,255,2.014,0.743,
468,,6.087E-5,255,255,255,4.043,0.741,
469,,6.087E-5,255,255,255,6.160,0.741,
470,,4.058E-5,255,255,255,7.005,0.748,
471,,4.058E-5,255,255,255,2.000,0.752,
472,,4.058E-5,255,255,255,7.018,0.757,
473,,4.058E-5,255,255,255,1.986,0.761,
474,,4.058E-5,255,255,255,2.268,0.766,
475,,2.029E-5,255,255,255,2.426,0.764,
476,,4.058E-5,255,255,255,7.032,0.766,
477,,4.058E-5,255,255,255,1.973,0.770,
478,,4.058E-5,255,255,255,2.045,0.768,
