 ,Area,Mean,Min,Max,X,Y
3805,2.029E-5,255,255,255,4.709,7.331
3806,2.029E-5,255,255,255,5.336,7.331
3807,2.029E-5,255,255,255,7.169,7.331
3808,2.029E-5,255,255,255,1.205,7.336
3809,6.087E-5,255,255,255,1.217,7.340
3810,6.087E-5,255,255,255,1.244,7.339
3811,2.029E-5,255,255,255,1.255,7.336
3812,2.029E-5,255,255,255,3.493,7.336
3813,2.029E-5,255,255,255,6.354,7.336
3814,4.058E-5,255,255,255,7.595,7.336
3815,2.029E-5,255,255,255,1.232,7.340
3816,4.058E-5,255,255,255,1.471,7.342
3817,2.029E-5,255,255,255,1.867,7.340
3818,2.029E-5,255,255,255,4.709,7.340
3819,4.058E-5,255,255,255,4.441,7.345
3820,2.029E-5,255,255,255,6.367,7.345
3821,2.029E-5,255,255,255,7.016,7.345
3822,2.029E-5,255,255,255,7.034,7.345
3823,4.058E-5,255,255,255,4.696,7.351
3824,2.029E-5,255,255,255,6.241,7.349
3825,2.029E-5,255,255,255,7.489,7.349
3826,6.087E-5,255,255,255,1.245,7.354
3827,4.058E-5,255,255,255,1.270,7.354
3828,2.029E-5,255,255,255,3.074,7.354
3829,4.058E-5,255,255,255,5.115,7.356
3830,2.029E-5,255,255,255,5.953,7.354
3831,2.029E-5,255,255,255,3.430,7.358
3832,2.029E-5,255,255,255,4.791,7.358
3833,1.826E-4,255,255,255,2.457,7.370
3834,2.029E-5,255,255,255,3.570,7.363
3835,4.058E-5,255,255,255,3.786,7.365
3836,2.029E-5,255,255,255,1.241,7.367
3837,2.029E-5,255,255,255,4.601,7.367
3838,6.087E-5,255,255,255,5.352,7.369
3839,2.029E-5,255,255,255,1.295,7.372
3840,0.021,255,255,255,1.720,7.479
3841,2.029E-5,255,255,255,3.448,7.372
3842,2.029E-5,255,255,255,3.489,7.372
3843,2.029E-5,255,255,255,3.768,7.372
3844,8.116E-5,255,255,255,3.626,7.378
3845,2.029E-5,255,255,255,1.115,7.381
3846,4.058E-5,255,255,255,3.448,7.383
3847,2.029E-5,255,255,255,1.363,7.390
3848,4.058E-5,255,255,255,1.613,7.394
3849,2.029E-5,255,255,255,3.583,7.394
3850,2.029E-5,255,255,255,3.119,7.399
3851,2.029E-4,255,255,255,5.044,7.405
3852,2.029E-5,255,255,255,1.705,7.403
3853,2.029E-5,255,255,255,3.520,7.403
3854,4.058E-5,255,255,255,5.349,7.405
3855,6.087E-5,255,255,255,1.687,7.412
3856,2.029E-5,255,255,255,2.849,7.408
3857,2.029E-5,255,255,255,3.480,7.408
3858,4.058E-5,255,255,255,3.511,7.410
3859,2.029E-5,255,255,255,4.381,7.408
3860,6.087E-5,255,255,255,5.173,7.409
3861,8.116E-5,255,255,255,7.002,7.409
3862,2.029E-5,255,255,255,7.831,7.408
3863,2.029E-5,255,255,255,1.619,7.412
3864,4.058E-5,255,255,255,4.541,7.412
3865,8.116E-5,255,255,255,6.928,7.416
3866,2.029E-5,255,255,255,7.110,7.412
3867,2.029E-5,255,255,255,7.205,7.412
3868,4.058E-5,255,255,255,3.056,7.419
3869,4.058E-5,255,255,255,4.365,7.417
3870,2.029E-5,255,255,255,7.011,7.417
3871,2.029E-5,255,255,255,1.110,7.421
3872,4.058E-5,255,255,255,1.354,7.423
3873,2.029E-5,255,255,255,1.394,7.421
3874,2.029E-5,255,255,255,1.583,7.421
3875,2.029E-5,255,255,255,5.187,7.421
3876,4.058E-5,255,255,255,5.284,7.423
3877,2.029E-5,255,255,255,6.552,7.421
3878,2.029E-5,255,255,255,3.507,7.426
3879,6.087E-5,255,255,255,1.812,7.432
3880,2.029E-5,255,255,255,3.773,7.430
3881,2.029E-5,255,255,255,6.975,7.430
3882,8.116E-5,255,255,255,1.351,7.439
3883,4.058E-5,255,255,255,2.327,7.437
3884,2.029E-5,255,255,255,3.502,7.435
3885,2.029E-5,255,255,255,4.651,7.435
3886,2.029E-5,255,255,255,4.714,7.435
3887,2.029E-5,255,255,255,7.025,7.439
3888,2.029E-5,255,255,255,7.056,7.439
3889,2.029E-5,255,255,255,7.011,7.444
3890,2.029E-5,255,255,255,4.818,7.448
3891,6.087E-5,255,255,255,5.950,7.451
3892,2.029E-5,255,255,255,1.124,7.453
3893,2.029E-5,255,255,255,1.358,7.453
3894,2.029E-5,255,255,255,3.417,7.453
3895,2.029E-5,255,255,255,7.128,7.453
3896,4.058E-5,255,255,255,1.259,7.459
3897,4.058E-5,255,255,255,3.041,7.457
3898,2.029E-5,255,255,255,3.723,7.457
3899,2.029E-5,255,255,255,1.268,7.462
3900,4.058E-5,255,255,255,1.619,7.464
